anio,instancia,nivel,universo,seccion_id,seccion,localidad,circuito_id,agrupacion_original,agrupacion_homologada,familia,bloque,votos
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0027,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,4091
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0028,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,165
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0028,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,105
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0029,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,1637
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0029,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,1400
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0030,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,1252
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0030,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,540
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0031,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,544
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0031,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,226
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0032,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,12762
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0032,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,9657
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0033,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,3819
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0033,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,3392
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0034,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,447
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0034,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,912
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0035,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,2600
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0035,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,3120
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0036,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,3977
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0036,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,1761
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0037,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,70
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0037,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,38
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0038,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,1857
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0038,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,1793
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0039,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,539
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0039,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,613
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0040,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,901
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0040,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,1047
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0041,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,166
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0041,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,107
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0042,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,416
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0042,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,147
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0043,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,861
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0043,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,585
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0044,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,4811
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0044,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,2871
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0045,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,457
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0045,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,239
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0046,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,1335
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0046,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,637
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0047,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,143
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0047,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,88
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0048,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,768
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0048,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,359
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0049,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,432
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0049,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,217
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0050,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,67
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0050,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,44
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0051,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,348
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0051,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,285
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0052,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,3554
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0052,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,968
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0053,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,3121
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0053,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,749
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0054,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,266
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0054,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,90
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0055,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,17598
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0055,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,8182
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0055A,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,11
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0055A,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,0
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0055B,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,87
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0055B,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,32
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0055C,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,2
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0055C,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,2
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0055D,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,8
2015,BALOTAJE,circuito,provincia_completa,011,Las Colonias,,0055D,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,19
