anio,instancia,cargo,distrito_id,distrito,seccion_id,seccion,circuito_id,agrupacion,tipo_registro,votos,electores,mesas,recuento_tipo,fuente,particion_comparable
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0016,nulos,nulos,933,60880,174,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0017,CAMBIEMOS,agrupacion,6684,14848,43,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0017,FRENTE PARA LA VICTORIA,agrupacion,4450,14848,43,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0017,blancos,blancos,181,14848,43,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0017,nulos,nulos,192,14848,43,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0018,CAMBIEMOS,agrupacion,996,6135,18,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0018,FRENTE PARA LA VICTORIA,agrupacion,3399,6135,18,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0018,blancos,blancos,32,6135,18,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0018,nulos,nulos,99,6135,18,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0019,CAMBIEMOS,agrupacion,11922,26216,75,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0019,FRENTE PARA LA VICTORIA,agrupacion,7856,26216,75,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0019,blancos,blancos,264,26216,75,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0019,nulos,nulos,367,26216,75,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0020,CAMBIEMOS,agrupacion,9239,20798,60,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0020,FRENTE PARA LA VICTORIA,agrupacion,6507,20798,60,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0020,blancos,blancos,161,20798,60,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0020,nulos,nulos,261,20798,60,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0020A,CAMBIEMOS,agrupacion,11207,23533,68,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0020A,FRENTE PARA LA VICTORIA,agrupacion,6931,23533,68,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0020A,blancos,blancos,255,23533,68,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0020A,nulos,nulos,358,23533,68,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0020B,CAMBIEMOS,agrupacion,3719,9736,28,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0020B,FRENTE PARA LA VICTORIA,agrupacion,3492,9736,28,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0020B,blancos,blancos,82,9736,28,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0020B,nulos,nulos,247,9736,28,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0021,CAMBIEMOS,agrupacion,2020,5231,15,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0021,FRENTE PARA LA VICTORIA,agrupacion,1968,5231,15,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0021,blancos,blancos,61,5231,15,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0021,nulos,nulos,59,5231,15,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0022,CAMBIEMOS,agrupacion,3288,8902,26,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0022,FRENTE PARA LA VICTORIA,agrupacion,3579,8902,26,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0022,blancos,blancos,74,8902,26,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0022,nulos,nulos,88,8902,26,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0023,CAMBIEMOS,agrupacion,4478,11785,34,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0023,FRENTE PARA LA VICTORIA,agrupacion,4241,11785,34,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0023,blancos,blancos,90,11785,34,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0023,nulos,nulos,119,11785,34,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0024,CAMBIEMOS,agrupacion,2365,5815,17,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0024,FRENTE PARA LA VICTORIA,agrupacion,2194,5815,17,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0024,blancos,blancos,32,5815,17,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0024,nulos,nulos,107,5815,17,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0025,CAMBIEMOS,agrupacion,426,875,3,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0025,FRENTE PARA LA VICTORIA,agrupacion,244,875,3,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0025,blancos,blancos,9,875,3,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0025,nulos,nulos,2,875,3,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0026,CAMBIEMOS,agrupacion,431,1253,4,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0026,FRENTE PARA LA VICTORIA,agrupacion,527,1253,4,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0026,blancos,blancos,4,1253,4,PROVISORIO,polar_atlas_andytow,si
