anio,instancia,cargo,distrito_id,distrito,seccion_id,mesas,electores,votantes,agrupacion,lista,tipo_registro,votos,recuento_tipo,fuente,particion_comparable
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,10,296,100797,74923,MOVIMIENTO DE ACCION VECINAL,,agrupacion,256,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,10,296,100797,74923,nulos,,nulos,1350,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,10,296,100797,74923,blancos,,blancos,993,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,10,296,100797,74923,recurridos,,recurridos,80,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,11,244,77516,61794,DEL CAMPO POPULAR,,agrupacion,129,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,11,244,77516,61794,COALICION CIVICA ARI,,agrupacion,2192,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,11,244,77516,61794,MOVIMIENTO DE ACCION VECINAL,,agrupacion,127,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,11,244,77516,61794,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,17111,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,11,244,77516,61794,ALIANZA FRENTE POPULAR,,agrupacion,9753,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,11,244,77516,61794,ALIANZA COMPROMISO FEDERAL,,agrupacion,3104,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,11,244,77516,61794,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,21321,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,11,244,77516,61794,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,524,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,11,244,77516,61794,ALIANZA PROYECTO SUR,,agrupacion,223,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,11,244,77516,61794,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,4823,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,11,244,77516,61794,nulos,,nulos,806,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,11,244,77516,61794,blancos,,blancos,1486,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,11,244,77516,61794,recurridos,,recurridos,195,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,12,70,22209,15193,DEL CAMPO POPULAR,,agrupacion,54,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,12,70,22209,15193,COALICION CIVICA ARI,,agrupacion,435,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,12,70,22209,15193,MOVIMIENTO DE ACCION VECINAL,,agrupacion,26,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,12,70,22209,15193,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,7460,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,12,70,22209,15193,ALIANZA FRENTE POPULAR,,agrupacion,2002,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,12,70,22209,15193,ALIANZA COMPROMISO FEDERAL,,agrupacion,413,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,12,70,22209,15193,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,3008,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,12,70,22209,15193,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,49,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,12,70,22209,15193,ALIANZA PROYECTO SUR,,agrupacion,49,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,12,70,22209,15193,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,1302,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,12,70,22209,15193,nulos,,nulos,180,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,12,70,22209,15193,blancos,,blancos,206,PROVISORIO,api_dine,no
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,12,70,22209,15193,recurridos,,recurridos,9,PROVISORIO,api_dine,no
