anio,instancia,fecha,distrito,seccion,localidad,mesas,electores,archivo_origen
2019,GENERAL,2019-10-27,Santa Fe,Las Colonias,San Carlos Centro,29,9990,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Las Colonias,San Carlos Sud,6,2009,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Las Colonias,San Jerónimo Norte,17,5778,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Las Colonias,Santa Clara de Buena Vista,8,2550,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,San Martín,Carlos Pellegrini,14,4660,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,San Martín,Cañada Rosquín,13,4529,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,San Martín,El Trébol,30,10288,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,San Martín,María Susana,8,2803,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,San Martín,Piamonte,9,2826,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,San Martín,San Jorge,46,15937,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,San Martín,San Martín de las Escobas,7,2369,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,San Martín,Sastre y Ortiz,14,4884,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Castellanos,Ataliva,5,1715,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Castellanos,Colonia Aldao,5,1615,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Castellanos,Frontera,21,7033,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Castellanos,Humberto Primo,14,4724,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Castellanos,Josefina,3,706,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Castellanos,Lehmann,8,2516,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Castellanos,María Juana,13,4339,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Castellanos,Ramona,5,1620,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Castellanos,San Vicente,15,5167,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Castellanos,Santa Clara de Saguier,6,1814,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Castellanos,Sunchales,54,18873,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Castellanos,Zenón Pereyra,5,1449,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Las Colonias,Esperanza,100,34680,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Las Colonias,Felicia,6,1956,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Las Colonias,Franck,15,5043,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Las Colonias,Humboldt,13,4292,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Las Colonias,Pilar,13,4286,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Las Colonias,Progreso,6,2098,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Las Colonias,San Carlos Centro,29,9990,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Las Colonias,San Carlos Sud,6,2009,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Las Colonias,San Jerónimo Norte,17,5778,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,Las Colonias,Santa Clara de Buena Vista,8,2550,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,San Martín,Carlos Pellegrini,14,4660,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,San Martín,Cañada Rosquín,13,4529,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,San Martín,El Trébol,30,10288,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,San Martín,María Susana,8,2803,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,San Martín,Piamonte,9,2826,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,San Martín,San Jorge,46,15937,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,San Martín,San Martín de las Escobas,7,2369,2019_PASO_DIST21_santafe_presidente.xlsx
2019,PASO,2019-08-11,Santa Fe,San Martín,Sastre y Ortiz,14,4884,2019_PASO_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Castellanos,Ataliva,6,1766,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Castellanos,Colonia Aldao,5,1705,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Castellanos,Frontera,21,7239,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Castellanos,Humberto Primo,14,4657,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Castellanos,Josefina,3,733,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Castellanos,Lehmann,8,2618,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Castellanos,María Juana,13,4211,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Castellanos,Ramona,5,1625,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Castellanos,San Vicente,16,5374,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Castellanos,Santa Clara de Saguier,6,1814,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Castellanos,Sunchales,56,19381,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Castellanos,Zenón Pereyra,5,1479,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Las Colonias,Esperanza,101,35438,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Las Colonias,Felicia,6,1979,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Las Colonias,Franck,16,5395,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Las Colonias,Humboldt,13,4472,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Las Colonias,Pilar,13,4434,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Las Colonias,Progreso,7,2223,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Las Colonias,San Carlos Centro,29,10148,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Las Colonias,San Carlos Sud,6,2037,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Las Colonias,San Jerónimo Norte,18,5973,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,Las Colonias,Santa Clara de Buena Vista,8,2571,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,San Martín,Carlos Pellegrini,14,4801,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,San Martín,Cañada Rosquín,13,4518,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,San Martín,El Trébol,31,10515,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,San Martín,María Susana,8,2773,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,San Martín,Piamonte,9,2839,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,San Martín,San Jorge,47,16426,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,San Martín,San Martín de las Escobas,7,2445,2023_GENERAL_DIST21_santafe_presidente.xlsx
2023,GENERAL,2023-10-22,Santa Fe,San Martín,Sastre y Ortiz,14,4890,2023_GENERAL_DIST21_santafe_presidente.xlsx
