circuito_id,seccion_id,seccion,localidad,mesas,electores,anio_referencia
02050,7,San Cristóbal,,1,314,2023
02070,8,San Justo,,2,421,2023
02080,8,San Justo,,6,2025,2023
02084,8,San Justo,,1,75,2023
02086,8,San Justo,,1,185,2023
02090,8,San Justo,,2,367,2023
02100,8,San Justo,,60,20712,2023
02105,8,San Justo,,1,102,2023
02110,8,San Justo,,2,648,2023
02120,8,San Justo,,5,1557,2023
02125,8,San Justo,,2,456,2023
02130,8,San Justo,,15,5180,2023
02140,8,San Justo,,2,682,2023
02145,8,San Justo,,2,635,2023
02150,8,San Justo,,4,1062,2023
02155,8,San Justo,,1,108,2023
02160,8,San Justo,,6,1983,2023
02165,8,San Justo,,1,52,2023
02170,8,San Justo,,1,348,2023
02180,8,San Justo,,2,571,2023
02190,8,San Justo,,1,40,2023
02200,9,General Obligado,,2,384,2023
02210,9,General Obligado,,21,7241,2023
02215,9,General Obligado,,1,45,2023
02220,9,General Obligado,,2,677,2023
02230,9,General Obligado,,2,481,2023
02235,9,General Obligado,,1,89,2023
02240,9,General Obligado,,58,20256,2023
02242,9,General Obligado,,23,7760,2023
02244,9,General Obligado,,32,11069,2023
02246,9,General Obligado,,68,23537,2023
02248,9,General Obligado,,3,1014,2023
02249,9,General Obligado,,1,191,2023
02250,9,General Obligado,,66,23111,2023
02255,9,General Obligado,,1,141,2023
02260,9,General Obligado,,3,798,2023
02270,9,General Obligado,,7,2117,2023
02272,9,General Obligado,,2,664,2023
02274,9,General Obligado,,1,82,2023
02280,9,General Obligado,,4,1343,2023
02290,9,General Obligado,,3,938,2023
02300,9,General Obligado,,9,2814,2023
02305,9,General Obligado,,1,30,2023
02310,9,General Obligado,,2,392,2023
02320,9,General Obligado,,47,16153,2023
02325,9,General Obligado,,1,86,2023
02330,9,General Obligado,,8,2657,2023
02340,9,General Obligado,,7,2331,2023
02350,9,General Obligado,,31,10757,2023
02370,9,General Obligado,,12,4149,2023
02380,9,General Obligado,,3,1001,2023
02390,9,General Obligado,,15,5009,2023
02395,9,General Obligado,,2,676,2023
02400,9,General Obligado,,1,226,2023
02410,9,General Obligado,,1,41,2023
02420,9,General Obligado,,4,1138,2023
02440,9,General Obligado,,1,136,2023
02444,9,General Obligado,,2,518,2023
02446,9,General Obligado,,2,534,2023
02450,9,General Obligado,,4,1069,2023
02460,9,General Obligado,,4,1060,2023
02465,9,General Obligado,,1,158,2023
02470,9,General Obligado,,3,725,2023
02480,9,General Obligado,,1,173,2023
