anio,instancia,fecha,cargo,distrito_id,distrito,seccion_id,seccion,circuito_id,circuito,mesa_id,agrupacion_id,agrupacion,lista_id,lista,tipo_registro,votos,pct_general,pct_validos,pct_afirmativos,pct_interna,archivo_origen
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,13/238,MOVIMIENTO AL SOCIALISMO/ MOV. AVANZADA SOCIALISTA,,IZQUIERDA ANTICAPITALISTA,lista,3678,,,,100,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,13/238,MOVIMIENTO AL SOCIALISMO/ MOV. AVANZADA SOCIALISTA,,,agrupacion,3678,0.18,0.18,0.18,,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,20,UNION DEL CENTRO DEMOCRATICO,A,APERTURA LIBERAL ARGENTINA,lista,34,,,,100,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,20,UNION DEL CENTRO DEMOCRATICO,,,agrupacion,34,,,,,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,40,MOVIMIENTO LIBRES DEL SUR,A,AZUL Y ROJO,lista,4618,,,,100,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,40,MOVIMIENTO LIBRES DEL SUR,,,agrupacion,4618,0.22,0.22,0.23,,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,57,MOVIMIENTO DE ACCION VECINAL,A,COMPROMISO VECINAL,lista,2486,,,,100,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,57,MOVIMIENTO DE ACCION VECINAL,,,agrupacion,2486,0.12,0.12,0.12,,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,90,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,A,DIGNIDAD,lista,1013,,,,29.27,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,90,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,B,CONFEDERAL,lista,2448,,,,70.73,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,90,MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD,,,agrupacion,3461,0.17,0.17,0.17,,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,92,POLITICA OBRERA,A,UNIDAD OBRERA,lista,2110,,,,100,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,92,POLITICA OBRERA,,,agrupacion,2110,0.1,0.1,0.1,,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,94,PROYECTO JOVEN,A,COALICIÓN PAZ DEMOCRACIA SOBERANÍA,lista,2183,,,,59.94,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,94,PROYECTO JOVEN,B,PATRIA UNIDA,lista,714,,,,19.6,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,94,PROYECTO JOVEN,C,TODEX,lista,745,,,,20.46,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,94,PROYECTO JOVEN,,,agrupacion,3642,0.17,0.18,0.18,,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,95,FRENTE PATRIOTA FEDERAL,A,PRIMERO LA PATRIA,lista,2824,,,,100,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,95,FRENTE PATRIOTA FEDERAL,,,agrupacion,2824,0.13,0.14,0.14,,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,131,FRENTE LIBER.AR,A,DEMOS,lista,1428,,,,46.8,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,131,FRENTE LIBER.AR,C,ANTICORRUPCION,lista,1623,,,,53.2,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,131,FRENTE LIBER.AR,,,agrupacion,3051,0.15,0.15,0.15,,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,132/501,JUNTOS POR EL CAMBIO,,EL CAMBIO DE NUESTRAS VIDAS,lista,131596,,,,25.37,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,132/501,JUNTOS POR EL CAMBIO,,LA FUERZA DEL CAMBIO,lista,387094,,,,74.63,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,132/501,JUNTOS POR EL CAMBIO,,,agrupacion,518690,24.78,25.07,25.54,,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,133/503,HACEMOS POR NUESTRO PAIS,,"HACEMOS/""A"" HACEMOS UNIDOS POR CORDOBA",lista,568685,,,,100,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,133/503,HACEMOS POR NUESTRO PAIS,,,agrupacion,568685,27.16,27.49,28.01,,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,134/502,UNION POR LA PATRIA,,CELESTE Y BLANCA,lista,126934,,,,71.21,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,134/502,UNION POR LA PATRIA,,JUSTA Y SOBERANA,lista,51308,,,,28.79,2023_PASO_DIST04_cordoba_presidente.xls
2023,PASO,2023-08-13,PRESIDENTE Y VICE,04,Cordoba,,,,,,134/502,UNION POR LA PATRIA,,,agrupacion,178242,8.51,8.62,8.78,,2023_PASO_DIST04_cordoba_presidente.xls
