anio,instancia,cargo,distrito_id,distrito,recuento_tipo,fuente,nivel,seccion_id,circuito_id,mesas,electores,votantes,agrupacion,lista,tipo_registro,votos
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,8,,158,52753,40538,COALICION CIVICA ARI,,agrupacion,1321
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,8,,158,52753,40538,MOVIMIENTO DE ACCION VECINAL,,agrupacion,6
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,8,,158,52753,40538,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,14980
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,8,,158,52753,40538,ALIANZA FRENTE POPULAR,,agrupacion,5450
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,8,,158,52753,40538,ALIANZA COMPROMISO FEDERAL,,agrupacion,2326
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,8,,158,52753,40538,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,11693
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,8,,158,52753,40538,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,512
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,8,,158,52753,40538,ALIANZA PROYECTO SUR,,agrupacion,246
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,8,,158,52753,40538,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,2616
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,8,,158,52753,40538,nulos,,nulos,291
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,8,,158,52753,40538,blancos,,blancos,1005
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,8,,158,52753,40538,recurridos,,recurridos,6
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,9,,837,288213,207080,DEL CAMPO POPULAR,,agrupacion,527
