eleccion_id,ambito,distrito,tipo_voto,agrupacion_key,nombre_fuente,formula,votos,fuente_id
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_FRENTE_MOVIMIENTO_POPULAR_UNION_Y_LIBERTAD,Alianza Frente Movimiento Popular - Unión y Libertad,RODRÍGUEZ SAÁ - POSSE,144154,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,UNION_CIVICA_RADICAL,Unión Cívica Radical,MOREAU - LOSADA,27074,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,SOCIALISTA,Socialista,BRAVO - GIUSTINIANI,26894,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_IZQUIERDA_UNIDA,Alianza Izquierda Unida,WALSH - PARRILLI,24187,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,OBRERO,Obrero,ALTAMIRA - SALAS,8984,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,CONFEDERACION_PARA_QUE_SE_VAYAN_TODOS,Confederación para que se vayan todos,VENTURINO - PINTO KRAMER,8100,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,HUMANISTA,Humanista,SULLING - AMBROSIO,5669,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,DEMOCRATA_CRISTIANO,Demócrata Cristiano,HERRERA - CÚNEO,4774,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,MOVIMIENTO_DE_INTEGRACION_Y_DESARROLLO,Movimiento de Integración y Desarrollo,ZAFFORE - PERIE,4755,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_TIEMPOS_DE_CAMBIO_UNION_POPULAR,Alianza Tiempos de Cambio - Unión Popular,ARCAGNI - ZENOF,4531,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,SOCIALISTA_AUTENTICO,Socialista Auténtico,MAZZITELLI - CAMPS,3949,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,POPULAR_DE_LA_RECONSTRUCCION,Popular de la Reconstrucción,BREIDE OBEID -VASENA,3844,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,MOVIMIENTO_POR_LA_DIGNIDAD_Y_LA_INDEPENDENCIA,Movimiento por la Dignidad y la Independencia,TERÁN - BONACCI,3453,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_UNIDOS_O_DOMINADOS,Alianza Unidos o Dominados,MUSSA - SUÁREZ,1681,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,BLANCO,,,,23613,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,NULO,,,,31052,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2007-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_FRENTE_PARA_LA_VICTORIA,Alianza Frente para la Victoria,FERNÁNDEZ DE KIRCHNER - COBOS,606361,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
2007-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_CONFEDERACION_COALICION_CIVICA,Alianza Confederación Coalición Cívica,CARRIÓ - GIUSTINIANI,582165,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
2007-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_CONCERTACION_PARA_UNA_NACION_AVANZADA,Alianza Concertación para una Nación Avanzada,LAVAGNA - MORALES,282702,CONTROL_resultados_2007_presidente_y_vicepresidente_SANTA_FE
